公司代號,公司名稱,英文簡稱,申報原因,產業類別,報告書內容涵蓋期間,編製依循準則,第三方驗證-驗證單位,第三方驗證-單位名稱,第三方驗證-採用標準,公司網站報告書相關資訊(中文版),中文版永續報告書,中文版上傳日期,英文版永續報告書網址,英文版永續報告書,英文版上傳日期,中文版永續報告書(修正後版本),上傳日期(中文修正後版本),英文版永續報告書(修正後版本),上傳日期(英文修正後版本),報告書聯絡資訊,備註
"3105","穩懋","WIN　　","6.係自願編製與申報","半導體業","110/01/01~110/12/31","1. GRI 準則","其他查驗證單位：","台灣檢驗科技股份有限公司(SGS Taiwan Ltd.)","AA1000 第2類型(Type2) 中度保證","https://www.winfoundry.com/wincsr/tw/","t100sa11_3105_110.pdf","111/06/28","https://www.winfoundry.com/wincsr/en/","t100sa11_3105_110_E.pdf","2022/06/28","","","","","wincsr@winfoundry.com","",
"3131","弘塑","GPTC","6.係自願編製與申報","其他電子業","110/01/01~110/12/31","1. GRI 準則","無","無資料","無資料","http://www.gptc.com.tw/tw/about/about_detail-12?about-133","t100sa11_3131_110.pdf","111/11/01","","","","","","","","ESG@gptc.com.tw","",
"3152","璟德","ACX","6.係自願編製與申報","通信網路業","110/01/01~110/12/31","1. GRI 準則","無","無資料","無資料","https://www.acxc.com.tw/report","t100sa11_3152_110.pdf","111/05/12","","","","","111/05/12","","","invest@acxc.com.tw","",
"3205","佰研","SLS","2.屬餐飲收入占其全部營業收入之比率達百分之五十以上者","生技醫療業","110/01/01~110/12/31","1. GRI 準則","會計師事務所：","奕欣會計師事務所","確信準則公報第一號","https://www.naturalbiokey.com/","t100sa11_3205_110.pdf","111/09/29","","","","","","","","carrie.chang@naturalbiokey.com","",
"3206","志豐","KINGSTATE","6.係自願編製與申報","電子零組件業","110/01/01~110/12/31","1. GRI 準則","無","無資料","無資料","https://www.kingstate.com.tw/upload/global/1664523762_1.pdf","t100sa11_3206_110.pdf","111/09/30","","","","","","","","esg@kingstate.com.tw","",
"3211","順達","Dynapack","6.係自願編製與申報","電腦及週邊設備業","110/01/01~110/12/31","1. GRI 準則","無","無資料","無資料","https://www.dynapack.com.tw/h/DataDetail?key=iczce&cont=7642","t100sa11_3211_110.pdf","111/09/30","","","","","","","","nancy.tsai@dynapack.com.tw","",
"3218","大學光","UNIVERSAL","6.係自願編製與申報","生技醫療業","110/01/01~110/12/31","1. GRI 準則","無","無資料","無資料","https://www.eyecenter.com.tw/investor/investor_a05/","t100sa11_3218_110.pdf","111/09/28","https://www.eyecenter.com.tw/EN/investor/investor_a05/","t100sa11_3218_110_E.pdf","2022/09/28","t100sa11_3218_110_M.pdf","112/01/16","t100sa11_3218_110_M_E.pdf","2023/01/16","sophia.lien@eyecenter.com.tw","無",
"3224","三顧","MetaTech","6.係自願編製與申報","電子通路業","110/01/01~110/12/31","1. GRI 準則","無","無資料","無資料","https://www.metatech.com.tw/ir/csr","t100sa11_3224_110.pdf","111/06/30","","","","t100sa11_3224_110_M.pdf","111/09/27","","","amyz@metatech.com.tw","",
"3227","原相","PXI","6.係自願編製與申報","半導體業","110/01/01~110/12/31","1. GRI 準則","無","無資料","無資料","https://www.pixart.com/upload/ckfiles/files/2021_PIXART_ESG_REPORT_cht.pdf","t100sa11_3227_110.pdf","111/09/07","https://www.pixart.com/upload/ckfiles/files/2021_PIXART_ESG_REPORT_en.pdf","t100sa11_3227_110_E.pdf","2022/09/07","","","","","ken_kuo@pixart.com","",
"3236","千如","ABC","6.係自願編製與申報","電子零組件業","110/01/01~110/12/31","1. GRI 準則","其他查驗證單位：","SGS","AA1000 第1類型(Type1) 中度保證","https://www.atec-group.com/csr-139-140-page373","t100sa11_3236_110.pdf","111/09/26","https://www.atec-group.com/en/csr-139-140-page373","t100sa11_3236_110_E.pdf","2022/09/26","","","","","sugar.sun@atec-group.com","",
"3264","欣銓","Ardentec","6.係自願編製與申報","半導體業","110/01/01~110/12/31","2. 其他依循標準：GRI, TCFD, SASB","其他查驗證單位：","BSI英國標準協會","AA1000 第1類型(Type1) 中度保證","https://esg.ardentec.com/zh-TW","t100sa11_3264_110.pdf","111/08/01","https://esg.ardentec.com/en-global","t100sa11_3264_110_E.pdf","2022/08/01","","","","","esg@ardentec.com","永續報告書英文版預計於2022/8/31前上傳網站: https://esg.ardentec.com/en-global",
"3272","東碩","GW","6.係自願編製與申報","電腦及週邊設備業","110/01/01~110/12/31","1. GRI 準則","無","無資料","無資料","http://www.goodway.com.tw/tw/csr.asp","t100sa11_3272_110.pdf","111/08/04","","","","","","","","pin_chu@goodway.com.tw","無",
"3293","鈊象","IGS","6.係自願編製與申報","文化創意業","110/01/01~110/12/31","1. GRI 準則","無","無資料","無資料","https://www.igs.com.tw/investors/cosocial/","t100sa11_3293_110.pdf","111/09/13","","","","","","","","milkliu@igs.com.tw","",
"3294","英濟","Megaforce","6.係自願編製與申報","電子零組件業","110/01/01~110/12/31","1. GRI 準則","無","無資料","無資料","https://www.megaforce.com.tw/zh-tw/Report/SustainabilityReport?sn_id=1","t100sa11_3294_110.pdf","111/09/21","","","","","","","","pascal_liu@megaforce.com.tw","無",
"3303","岱稜","UNIVACCO","6.係自願編製與申報","其他電子業","110/01/01~110/12/31","1. GRI 準則","其他查驗證單位：","英國標準協會(BSI)","AA1000 第1類型(Type1) 中度保證","https://www.univacco.com.tw/tw/csr.php","t100sa11_3303_110.pdf","111/09/30","","","","t100sa11_3303_110_M.pdf","111/12/19","","","3303HR@ univacco.com.tw","",
"3324","雙鴻","AURAS","6.係自願編製與申報","其他電子業","110/01/01~110/12/31","1. GRI 準則","無","無資料","無資料","https://www.auras.com.tw/zh-hant/content/management-0","t100sa11_3324_110.pdf","111/06/30","","","","","","","","Eli_lee@auras.com.tw","",
"3357","臺慶科","TAI-TECH","6.係自願編製與申報","電子零組件業","110/01/01~110/12/31","1. GRI 準則","會計師事務所：","資誠聯合會計師事務所","確信準則公報第一號","https://www.tai-tech.com.tw/_upload/files/ESG%20report/2021/2021-Tai-tech_ESG_Report.pdf","t100sa11_3357_110.pdf","111/09/30","https://www.tai-tech.com.tw/_upload/files/ESG%20report/2021/2021-Tai-tech_ESG_Report_EN.pdf","t100sa11_3357_110_E.pdf","2022/10/31","","","","","fan@tai-tech.com.tw","無",
"3374","精材","Xintec","6.係自願編製與申報","半導體業","110/01/01~110/12/31","1. GRI 準則","其他查驗證單位：","英國標準協會(BSI)","AA1000 第1類型(Type1) 中度保證","https://www.xintec.com.tw/chi/CSR_CSR_Policy_Reports.aspx","t100sa11_3374_110.pdf","111/06/30","","","","","","","","CSR@xintec.com.tw","",
"3388","崇越電","TTC","6.係自願編製與申報","電子零組件業","110/01/01~110/12/31","1. GRI 準則","其他查驗證單位：","格瑞國際驗證有限公司","AA1000 第1類型(Type1) 中度保證","https://www.topcocorp.com/zh-tw/csr/index/CSR_6","t100sa11_3388_110.pdf","111/09/22","https://www.topcocorp.com/en-global/csr/index/ESG","t100sa11_3388_110_E.pdf","2022/10/07","","","","","patrick.su@topcocorp.com","",
"3489","森寶","Sun Brothers","6.係自願編製與申報","建材營造","110/01/01~110/12/31","2. 其他依循標準：自訂揭露架構。","無","無資料","無資料","http://www.sunbrothers.com.tw/Page/CSRReport","t100sa11_3489_110.pdf","111/04/29","","","","","111/04/29","","","jini_hsiao@sunbrothers.com.tw","無。",
"3522","御頂","TOPLUS","2.屬餐飲收入占其全部營業收入之比率達百分之五十以上者","觀光餐旅","110/01/01~110/12/31","1. GRI 準則","會計師事務所：","國富浩華聯合會計師事務所","確信準則公報第一號","https://www.toplusglobal.com/zh-tw/investor.php?act=report","t100sa11_3522_110.pdf","111/09/30","","","","","","","","Rae_Hsu@toplusglobal.com","",
"3529","力旺","eMemory","6.係自願編製與申報","半導體業","110/01/01~110/12/31","1. GRI 準則","無","無資料","無資料","https://www.ememory.com.tw/zh-TW/About/ESG_Report","t100sa11_3529_110.pdf","111/09/30","https://www.ememory.com.tw/en-US/About/ESG_Report","t100sa11_3529_110_E.pdf","2022/09/30","","","","","ir@ememory.com.tw","",
"3546","宇峻","USERJOY","6.係自願編製與申報","文化創意業","110/01/01~110/12/31","2. 其他依循標準：參照GRI編制","無","無資料","無資料","http://www.userjoy.com.tw/index.aspx#company/a/c06","t100sa11_3546_110.pdf","111/10/14","","","","","","","","anny08@uj.com.tw;johnnyhsiao@uj.com.tw","",
"3558","神準","Senao Networks","6.係自願編製與申報","通信網路業","110/01/01~110/12/31","1. GRI 準則","其他查驗證單位：","台灣德國北德技術監護顧問股份有限公司(TUV NORD)","AA1000 第1類型(Type1) 中度保證","https://www.senaonetworks.com/csr/report-and-resource/","t100sa11_3558_110.pdf","111/11/30","https://www.senaonetworks.com/en/csr/report-and-resource/","t100sa11_3558_110_E.pdf","2022/12/27","","","","","Celine.Chen@senao.com","",
"3587","閎康","MA-tek","6.係自願編製與申報","其他電子業","110/01/01~110/12/31","1. GRI 準則","會計師事務所：","勤業眾信聯合會計師事務所","確信準則公報第一號","https://www.ma-tek.com/zh-TW/Download/index/CSRReport/CSRReport","t100sa11_3587_110.pdf","111/06/30","https://www.ma-tek.com/zh-TW/Download/index/CSRReport/CSRReport","t100sa11_3587_110_E.pdf","2022/12/21","","","","","stock@ma-tek.com","",
"3594","磐儀","ARBOR","6.係自願編製與申報","電腦及週邊設備業","110/01/01~110/12/31","1. GRI 準則","無","無資料","無資料","https://www.arbor-technology.com/zh-tw/csr-cate-first/CSR","t100sa11_3594_110.pdf","111/06/30","","","","t100sa11_3594_110_M.pdf","111/07/01","","","IVY@ARBOR.COM.TW","",
"3623","富晶通","TTI","6.係自願編製與申報","光電業","110/01/01~110/12/31","1. GRI 準則","無","無資料","無資料","http://www.transtouch.com.tw/doc/CSR2021.pdf","t100sa11_3623_110.pdf","111/09/30","","","","","","","","T01425@transtouch.com.tw","",
"3624","光頡","VIKING","6.係自願編製與申報","電子零組件業","110/01/01~110/12/31","1. GRI 準則","其他查驗證單位：","BSI英國標準協會","其他","http://www.viking.com.tw","t100sa11_3624_110.pdf","111/06/28","","","","t100sa11_3624_110_M.pdf","111/09/27","","","nicoleyang@viking.com.tw","",
"3628","盈正","ABLEREX","6.係自願編製與申報","其他電子業","110/01/01~110/12/31","1. GRI 準則","其他查驗證單位：","格瑞國際驗證有限公司","AA1000 第1類型(Type1) 中度保證","https://www.ablerex.com.tw/ch/csr_3_7.php","t100sa11_3628_110.pdf","111/09/01","https://www.ablerex.com.tw/esg_3_4.php","t100sa11_3628_110_E.pdf","2022/11/01","","","","2022/11/01","jack.teng@ablerex.com.tw","",
"3629","地心引力","Gravitytai","6.係自願編製與申報","文化創意業","110/01/01~110/12/31","1. GRI 準則","其他查驗證單位：","SGS台灣檢驗科技","AA1000 第1類型(Type1) 中度保證","https://www.gravitytw.com/esg/list","t100sa11_3629_110.pdf","111/09/22","","","","","","","","csr@gravitytw.com","無",
"3663","鑫科","TTMC","6.係自願編製與申報","其他電子業","110/01/01~110/12/31","1. GRI 準則","無","無資料","無資料","https://reurl.cc/NAMopQ","t100sa11_3663_110.pdf","111/06/28","","","","","","","","skuo@e-ttmc.com.tw","",
"3675","德微","Eris Tech","6.係自願編製與申報","半導體業","110/01/01~110/12/31","1. GRI 準則","無","無資料","無資料","https://www.eris.com.tw/erisSocialResponsibility.php","t100sa11_3675_110.pdf","111/10/14","","","","","","","","esther.chiu@eris.com.tw","無",
"3680","家登","Gudeng","6.係自願編製與申報","半導體業","110/01/01~110/12/31","1. GRI 準則","其他查驗證單位：","DNV Business Assurance Co., Ltd.","AA1000 第1類型(Type1) 中度保證","https://esg.gudeng.com/?mid=372","t100sa11_3680_110.pdf","111/08/29","","","","","","","","Yalin.Chen@gudeng.com","無。",
"4105","東洋","TTY　","6.係自願編製與申報","生技醫療業","110/01/01~110/12/31","1. GRI 準則","其他查驗證單位：","英國標準協會(BSI)","AA1000 第1類型(Type1) 中度保證","https://ch.tty.com.tw/ec99/rwd1181/Category.asp?category_id=158","t100sa11_4105_110.pdf","111/07/04","https://eng.tty.com.tw/ec99/rwd1195/Category.asp?category_id=142","t100sa11_4105_110_E.pdf","2022/08/19","","","","","carol_huang@tty.com.tw","",
"4114","健喬","SYNMOSA","6.係自願編製與申報","生技醫療業","110/01/01~110/12/31","1. GRI 準則","無","無資料","無資料","http://www.synmosa.com.tw/TW/CSR/ugC_CSR.asp?ID=5","t100sa11_4114_110.pdf","111/09/30","","","","","","","","customer@synmosa.com.tw","",
"4121","優盛","ROSSMAX","6.係自願編製與申報","生技醫療業","110/01/01~110/12/31","2. 其他依循標準：G3","無","無資料","無資料","http://60.251.41.252/inv/download/Investor/Rossmax_CSR.pdf","t100sa11_4121_110.pdf","111/06/28","","","","","","","","max.liu@rossmax.com","",
"4123","晟德","Center Lab.","5.股本達新臺幣五十億元以上者","生技醫療業","110/01/01~110/12/31","1. GRI 準則","無","無資料","無資料","https://www.centerlab.com.tw/","t100sa11_4123_110.pdf","111/09/30","","","","t100sa11_4123_110_M.pdf","111/12/21","","","yvonne@centerlab.com.tw","無",
"4126","太醫","PAHSCO　　","6.係自願編製與申報","生技醫療業","110/01/01~110/12/31","1. GRI 準則","無","無資料","無資料","http://www.pahsco.com.tw/","t100sa11_4126_110.pdf","111/08/10","","","","","","","","catherinem@pahsco.com.tw","",
"4128","中天","MICROBIO　　","6.係自願編製與申報","生技醫療業","110/01/01~110/12/31","1. GRI 準則","其他查驗證單位：","DNV Business Assurance Co., Ltd.","AA1000 第1類型(Type1) 中度保證","https://www.twmicrobio.com/home_04.php?p=10&a=110","t100sa11_4128_110.pdf","111/09/28","https://www.twmicrobio.com/en/home_04.php?p=10&a=104","t100sa11_4128_110_E.pdf","2022/11/09","","","","","csr.microbio@microbio.com.tw","",
"4129","聯合","UOC　　","6.係自願編製與申報","生技醫療業","110/01/01~110/12/31","1. GRI 準則","會計師事務所：","德昌聯合會計師事務所","確信準則公報第一號","https://tw.unitedorthopedic.com/csr/report/","t100sa11_4129_110.pdf","111/09/20","","","","","","","","tw.service@unitedorthopedic.com","",
"4153","鈺緯","DIVA Labs.","6.係自願編製與申報","生技醫療業","110/01/01~110/12/31","1. GRI 準則","無","無資料","無資料","http://www.diva.com.tw/zh-tw/news/index/27","t100sa11_4153_110.pdf","111/06/30","","","","","","","","angel_chian@diva.com.tw","",
"4157","太景*-KY","TAIGEN","6.係自願編製與申報","生技醫療業","110/01/01~110/12/31","2. 其他依循標準：GRI準則、永續會計準則(SASB)","無","無資料","無資料","https://www.taigenbiotech.com/tw/social/report","t100sa11_4157_110.pdf","111/12/16","","","","","","","","service@taigenbiotech.com","",
"4162","智擎","PEI","6.係自願編製與申報","生技醫療業","110/01/01~110/12/31","1. GRI 準則","會計師事務所：","資誠聯合會計師事務所","確信準則公報第一號","https://www.pharmaengine.com","t100sa11_4162_110.pdf","111/09/29","https://www.pharmaengine.com","t100sa11_4162_110_E.pdf","2022/09/29","","","","","chihsing.chang@pharmaengine.com","",
"4174","浩鼎","OBI","6.係自願編製與申報","生技醫療業","110/01/01~110/12/31","1. GRI 準則","無","無資料","無資料","https://www.obipharma.com/zh-hant/esg/","t100sa11_4174_110.pdf","111/06/29","","","","","","","","slee@obipharma.com","",
"4205","中華食","CHUNG HWA 　","1.屬食品工業者","食品工業","110/01/01~110/12/31","1. GRI 準則","會計師事務所：","資誠聯合會計事務所","確信準則公報第一號","https://www.herngyih.com.tw/stakeholder/8/1.htm","t100sa11_4205_110.pdf","111/09/15","","","","","","","","herng.jason@msa.hinet.net","",
"4207","環泰","TFC","1.屬食品工業者","食品工業","110/01/01~110/12/31","1. GRI 準則","會計師事務所：","正大聯合會計師事務所","確信準則公報第一號","http://www.fructose.com.tw/tw/Download5","t100sa11_4207_110.pdf","111/09/23","","","","","","","","ad02@fructose.com.tw","",
"4419","元勝","ESG","2.屬餐飲收入占其全部營業收入之比率達百分之五十以上者","紡織纖維","110/01/01~110/12/31","1. GRI 準則","會計師事務所：","立本台灣聯合會計師事務所","確信準則公報第一號","http://www.ensureglobal.com.tw","t100sa11_4419_110.pdf","111/09/29","","","","","","","","longlon.com@msa.hint.net","",
"4506","崇友","GFC　　","6.係自願編製與申報","電機機械","110/01/01~110/12/31","1. GRI 準則","無","無資料","無資料","https://www.gfc.com.tw/invest.php?PC_ID=20150917001&ac=8","t100sa11_4506_110.pdf","111/09/30","https://www.gfc.com.tw/en/invest.php?PC_ID=20221227001","t100sa11_4506_110_E.pdf","2022/12/28","","","","","patrick.lin@gfc.com.tw","無",
"4530","宏易","Honyi","2.屬餐飲收入占其全部營業收入之比率達百分之五十以上者","觀光餐旅","110/01/01~110/12/31","1. GRI 準則","會計師事務所：","正風聯合會計師事務所","確信準則公報第一號","http://www.honyigroup.com","t100sa11_4530_110.pdf","111/09/30","","","","","","","","jack.hsiao@honyigroup.com","",
"4535","至興","FBT","6.係自願編製與申報","電機機械","110/01/01~110/12/31","1. GRI 準則","其他查驗證單位：","BSI香港商英國標準協會太平洋有限公司台灣分公司","AA1000 第1類型(Type1) 中度保證","https://www.fineblanking.com.tw/ec99/rwd1280/category.asp?category_id=31","t100sa11_4535_110.pdf","111/08/30","","","","","","","","gmo05@fineblanking.com.tw","無",
"4543","萬在","MAN ZAI","6.係自願編製與申報","電機機械","110/01/01~110/12/31","1. GRI 準則","無","無資料","無資料","http://www.manzai.com.tw/index.php?option=module&lang=cht&task=showlist&id=153&index=2","t100sa11_4543_110.pdf","111/09/28","","","","","","","","Finance@manzai.com.tw","無",
"4549","桓達","FineTek","6.係自願編製與申報","電機機械","110/01/01~110/12/31","1. GRI 準則","其他查驗證單位：","英國標準協會","AA1000 第1類型(Type1) 中度保證","https://www.fine-tek.com/investors/socialPage/279","t100sa11_4549_110.pdf","111/09/30","","","","","","","","esg@fine-tek.com","",
"4702","中美實","ALLIED 　　","3.屬化學工業者","居家生活","110/01/01~110/12/31","1. GRI 準則","會計師事務所：","資誠聯合會計師事務所","確信準則公報第一號","http://www.aicgroup.com.tw/csr-report/","t100sa11_4702_110.pdf","111/09/29","","","","","","","","audit@aicgroup.com.tw","",
"4706","大恭","TKC　　","3.屬化學工業者","化學工業","110/01/01~110/12/31","1. GRI 準則","會計師事務所：","國富浩華聯合會計師事務所","確信準則公報第一號","http://www.tkc.com.tw/Upload/csr/110CSRREPORT.pdf","t100sa11_4706_110.pdf","111/08/19","","","","","","","","pan1961@tkc.com.tw","",
"4707","磐亞","PACC　　","3.屬化學工業者","化學工業","110/01/01~110/12/31","1. GRI 準則","會計師事務所：","穎達聯合會計師事務所","確信準則公報第一號","https://www.pacc.com.tw/social_tw.php?id=4","t100sa11_4707_110.pdf","111/09/28","","","","","","","","fion-wen@pacc.com.tw","",
"4711","永純","YONG SHUN　　","3.屬化學工業者","化學工業","110/01/01~110/12/31","1. GRI 準則","會計師事務所：","國富浩華聯合會計師事務所","確信準則公報第一號","http://www.yongshunchemical.com","t100sa11_4711_110.pdf","111/09/26","","","","","","","","yong.shun@msa.hinet.net","",
"4712","福格創新","NT","1.屬食品工業者","食品工業","110/01/01~110/12/31","1. GRI 準則","會計師事務所：","資誠聯合會計師事務所","確信準則公報第一號","http://www.nantsan.com.tw/tw/investor","t100sa11_4712_110.pdf","111/09/30","","","","","","","","admin@nantsan.com.tw","",
