公司代號,公司名稱,英文簡稱,申報原因,產業類別,報告書內容涵蓋期間,編製依循準則,第三方驗證-驗證單位,第三方驗證-單位名稱,第三方驗證-採用標準,公司網站報告書相關資訊(中文版),中文版永續報告書,中文版上傳日期,英文版永續報告書網址,英文版永續報告書,英文版上傳日期,中文版永續報告書(修正後版本),上傳日期(中文修正後版本),英文版永續報告書(修正後版本),上傳日期(英文修正後版本),報告書聯絡資訊,備註
"1301","台塑","FPC","5.股本達新臺幣二十億元以上者","塑膠工業","111/01/01~111/12/31","1. GRI 準則","其他查驗證單位：","艾法諾國際股份有限公司 (AFNOR Asia Ltd.)","AA1000 第1類型(Type1) 中度保證","https://csr.fpc.com.tw/FPC_CSR/csr_download.aspx","t100sa11_1301_111.pdf","112/06/28","","","","","","","","fpccsr@fpc.com.tw","",
"1303","南亞","NPC","5.股本達新臺幣二十億元以上者","塑膠工業","111/01/01~111/12/31","1. GRI 準則","其他查驗證單位：","艾法諾國際股份有限公司 (AFNOR Asia Ltd.)","AA1000 第1類型(Type1) 中度保證","http://www.npc.com.tw/j2npc/zhtw/csr_report.jsp","t100sa11_1303_111.pdf","112/06/30","","","","","","","","NPC_ESG@npc.com.tw","",
"1304","台聚","USI","5.股本達新臺幣二十億元以上者","塑膠工業","111/01/01~111/12/31","1. GRI 準則","其他查驗證單位：","「法國標準協會」亞太公司艾法諾國際股份有限公司(AFNOR Asia Ltd.)","AA1000 第1類型(Type1) 中度保證","https://www.usife.com/ESG/zh-tw/ESG72.aspx","t100sa11_1304_111.pdf","112/06/30","","","","","","","","Cally@usig.com","",
"1305","華夏","CGPC","5.股本達新臺幣二十億元以上者","塑膠工業","111/01/01~111/12/31","1. GRI 準則","其他查驗證單位：","第三方驗證機構「法國標準協會」亞太公司艾法諾國際股份有限公司(AFNOR Asia Ltd.)","AA1000 第1類型(Type1) 中度保證","https://www.cgpc.com.tw/ESG/tw/ESG-Report.aspx","t100sa11_1305_111.pdf","112/06/30","","","","","","","","jessicachen@usig.com、KENNYCHEN@usig.com","本報告書不含海外子公司，部份資料回溯至111年之前及112年之內容與績效。",
"1307","三芳","SAN FANG","5.股本達新臺幣二十億元以上者","塑膠工業","111/01/01~111/12/31","1. GRI 準則","無","無資料","無資料","https://www.sanfang.com/interested/%E9%97%9C%E6%96%BC%EF%BD%85%EF%BD%93%EF%BD%87","t100sa11_1307_111.pdf","112/06/02","","","","","","","","juii@sanfang.con.tw","",
"1308","亞聚","APC","5.股本達新臺幣二十億元以上者","塑膠工業","111/01/01~111/12/31","1. GRI 準則","其他查驗證單位：","「法國標準協會」亞太公司艾法諾國際股份有限公司 (AFNOR Asia Ltd.)","AA1000 第1類型(Type1) 中度保證","https://www.apc.com.tw/ESG/zh-tw/ESG82.aspx","t100sa11_1308_111.pdf","112/06/30","","","","","","","","shpan@usig.com","",
"1309","台達化","TTC","5.股本達新臺幣二十億元以上者","塑膠工業","111/01/01~111/12/31","1. GRI 準則","其他查驗證單位：","「法國標準協會」亞太公司艾法諾國際股份有限公司 (AFNOR Asia Ltd.)","AA1000 第1類型(Type1) 中度保證","https://www.ttc.com.tw/zh-tw/dirCSRnew/frmReport.aspx","t100sa11_1309_111.pdf","112/06/30","","","","","","","","leeclong@usig.com","",
"1310","台苯","T.S.M.C.","5.股本達新臺幣二十億元以上者","塑膠工業","111/01/01~111/12/31","2. 其他依循標準：GRI 準則、SASB、TCFD","無","無資料","無資料","https://www.smct.com.tw/Responsibility/responsibility","t100sa11_1310_111.pdf","112/06/30","","","","","","","","eveline@smct.com.tw","",
"1312","國喬","GPPC","5.股本達新臺幣二十億元以上者","塑膠工業","111/01/01~111/12/31","1. GRI 準則","其他查驗證單位：","TUV NORD","AA1000 第2類型(Type2) 中度保證","https://www.gppc.com.tw/","t100sa11_1312_111.pdf","112/06/29","https://www.gppc.com.tw/","t100sa11_1312_111_E.pdf","2023/07/05","","","","","popeye@gppc.com.tw","無",
"1313","聯成","UPC","5.股本達新臺幣二十億元以上者","塑膠工業","111/01/01~111/12/31","1. GRI 準則","其他查驗證單位：","英國標準協會(BSI)","AA1000 第1類型(Type1) 中度保證","https://www.upc.com.tw/zh-TW/esg_reports","t100sa11_1313_111.pdf","112/06/27","","","","","","","","esg@upc.com.tw","",
"1314","中石化","CPDC","5.股本達新臺幣二十億元以上者","塑膠工業","111/01/01~111/12/31","1. GRI 準則","其他查驗證單位：","英國標準協會(BSI)","AA1000 第2類型(Type2) 高度保證","https://www.cpdc.com.tw/tw/csr_pdf","t100sa11_1314_111.pdf","112/06/30","","","","","","","","CSR@cpdc.com.tw, venessachi@cpdc.com.tw","英文版報告書編製中，完成後置於公司網站https://www.cpdc.com.tw/en/csr_pdf",
"1316","上曜","SUN  YAD","6.係自願編製與申報","建材營造","111/01/01~111/12/31","1. GRI 準則","無","無資料","無資料","http://www.sunyad.com.tw/responsibility.asp","t100sa11_1316_111.pdf","112/06/30","","","","","","","","sunyad_101@yahoo.com.tw","",
"1319","東陽","OTN","5.股本達新臺幣二十億元以上者","汽車工業","111/01/01~111/12/31","1. GRI 準則","無","無資料","無資料","https://www.tyg.com.tw/","t100sa11_1319_111.pdf","112/06/29","","","","","","","","16503@tyg.com.tw","",
"1321","大洋","OPC","5.股本達新臺幣二十億元以上者","塑膠工業","111/01/01~111/12/31","1. GRI 準則","其他查驗證單位：","格瑞國際驗證有限公司","AA1000 第1類型(Type1) 中度保證","https://www.opc.com.tw/zh-tw/a2-9767/%E5%B9%B4%E5%BA%A62022.html","t100sa11_1321_111.pdf","112/06/26","","","","","","","","denny@opc.com.tw","",
"1326","台化","FCFC","5.股本達新臺幣二十億元以上者","塑膠工業","111/01/01~111/12/31","1. GRI 準則","其他查驗證單位：","艾法諾國際股份有限公司 (AFNOR Asia Ltd.)","AA1000 第1類型(Type1) 中度保證","https://www.fcfc.com.tw/data-22345","t100sa11_1326_111.pdf","112/06/21","","","","","","","","management@fcfc.com.tw","",
"1402","遠東新","FENC","5.股本達新臺幣二十億元以上者","紡織纖維","111/01/01~111/12/31","2. 其他依循標準：GRI 準則、SASB化學行業指標、TCFD及IFRS永續揭露準則(草案) S1,S2","其他查驗證單位：","台灣檢驗科技股份有限公司(SGS)","AA1000 第1類型(Type1) 中度保證","https://csr.fenc.com/report.aspx?lang=zh","t100sa11_1402_111.pdf","112/06/29","https://csr.fenc.com/report-download?lang=en","t100sa11_1402_111_E.pdf","2023/08/09","","","","","csr@fenc.com","",
"1409","新纖","SSFC","5.股本達新臺幣二十億元以上者","紡織纖維","111/01/01~111/12/31","1. GRI 準則","其他查驗證單位：","TUV","AA1000 第1類型(Type1) 中度保證","http://www.shinkong.com.tw/front/investors","t100sa11_1409_111.pdf","112/06/27","","","","","","","","corp_pd@shinkong.com.tw","",
"1413","宏洲","H.C.","6.係自願編製與申報","紡織纖維","111/01/01~111/12/31","1. GRI 準則","無","無資料","無資料","http://www.hungchou.com.tw","t100sa11_1413_111.pdf","112/06/20","","","","","","","","albert@yijinn.com.tw","111年度溫室氣體盤查委託中國生產力中心做外部查證，截止於6/20尚未取得驗證報告。",
"1434","福懋","F.T.C","5.股本達新臺幣二十億元以上者","紡織纖維","111/01/01~111/12/31","1. GRI 準則","其他查驗證單位：","台灣檢驗科技股份有限公司 (SGS Taiwan)","AA1000 第1類型(Type1) 中度保證","http://www.ftc.com.tw/newftc/respons_report.php","t100sa11_1434_111.pdf","112/06/27","","","","","","","","t113001@ftc.com.tw","",
"1440","南紡","TAINAN SPINNING","5.股本達新臺幣二十億元以上者","紡織纖維","111/01/01~111/12/31","1. GRI 準則","無","無資料","無資料","http://www.tainanspin.com.tw/","t100sa11_1440_111.pdf","112/06/21","","","","","","","","CSR@tainanspin.com.tw","",
"1444","力麗","LEALEA","5.股本達新臺幣二十億元以上者","紡織纖維","111/01/01~111/12/31","1. GRI 準則","無","無資料","無資料","https://www.lealeagroup.com.tw/project-detail/ll22/","t100sa11_1444_111.pdf","112/06/28","","","","","","","","hung0612@lipeng.com.tw","",
"1447","力鵬","LP","5.股本達新臺幣二十億元以上者","紡織纖維","111/01/01~111/12/31","1. GRI 準則","無","無資料","無資料","https://www.lealeagroup.com.tw/project-detail/lp22/","t100sa11_1447_111.pdf","112/06/28","","","","","","","","kenny110@lealea.com.tw","",
"1451","年興","NIEN HSING","5.股本達新臺幣二十億元以上者","紡織纖維","111/01/01~111/12/31","1. GRI 準則","無","無資料","無資料","https://www.nhjeans.com/sustainability/?lang=zh-hant","t100sa11_1451_111.pdf","112/06/30","","","","","","","","terence.chou@nhjeans.com","",
"1455","集盛","ZIG SHENG","5.股本達新臺幣二十億元以上者","紡織纖維","111/01/01~111/12/31","1. GRI 準則","其他查驗證單位：","香港商英國標準協會太平洋有限公司台灣分公司 (BSI )","AA1000 第1類型(Type1) 中度保證","http://www.zigsheng.com/corporate-social-responsibility-zh/historical-corporate-social-responsibility-reports-zh/","t100sa11_1455_111.pdf","112/06/28","","","","","","","","CSR@zigsheng.com","無",
"1457","宜進","YI JINN","5.股本達新臺幣二十億元以上者","紡織纖維","111/01/01~111/12/31","1. GRI 準則","無","無資料","無資料","http://www.yijinn.com.tw","t100sa11_1457_111.pdf","112/06/20","","","","","","","","albert@yijinn.com.tw","111年度溫室氣體盤查委託台灣商檢中心做外部查證，截止於6/20尚未取得驗證報告。",
"1459","聯發","LAN FA","5.股本達新臺幣二十億元以上者","紡織纖維","111/01/01~111/12/31","1. GRI 準則","無","無資料","無資料","http://main.lanfa.com.tw/","t100sa11_1459_111.pdf","112/06/26","","","","t100sa11_1459_111_M.pdf","112/06/26","","","tpe_hr@lanfa.com.tw","",
"1460","宏遠","EVEREST","5.股本達新臺幣二十億元以上者","紡織纖維","111/01/01~111/12/31","1. GRI 準則","其他查驗證單位：","台灣科技檢驗股份有限公司","AA1000 第1類型(Type1) 中度保證","http://esg.everest.com.tw/tw/download","t100sa11_1460_111.pdf","112/06/30","","","","","","","","taih.chen@everest.com.tw","無",
"1464","得力","DE LICACY","5.股本達新臺幣二十億元以上者","紡織纖維","111/01/01~111/12/31","1. GRI 準則","其他查驗證單位：","艾法諾國際股份有限公司","AA1000 第1類型(Type1) 中度保證","http://www.delicacy.com.tw/zh-tw/Investor/公司治理/ESG永續報告書","t100sa11_1464_111.pdf","112/06/30","","","","","","","","Chuchu5811@delicacy.com.tw","無",
"1466","聚隆","Acelon","6.係自願編製與申報","紡織纖維","111/01/01~111/12/31","1. GRI 準則","無","無資料","無資料","https://www.acelon.com.tw/zh-tw/csr-cate-first/75bec572214c0edf75535683d4cf5b0a","t100sa11_1466_111.pdf","112/07/13","","","","","","","","cherry@acelon.com.tw","",
"1503","士電","SEEC","5.股本達新臺幣二十億元以上者","電機機械","111/01/01~111/12/31","1. GRI 準則","其他查驗證單位：","英國標準協會臺灣分公司(BSI)","AA1000 第1類型(Type1) 中度保證","https://www.seec.com.tw/Content/Downloads/List01.aspx?SiteID=10&MmmID=744733351225613026","t100sa11_1503_111.pdf","112/06/30","","","","","","","","weifang@seec.com.tw","",
"1504","東元","TECO","5.股本達新臺幣二十億元以上者","電機機械","111/01/01~111/12/31","1. GRI 準則","其他查驗證單位：","BSI","AA1000 第1類型(Type1) 中度保證","https://www.teco.com.tw/esg/download1.aspx","t100sa11_1504_111.pdf","112/06/29","https://www.teco.com.tw/esg/images/upload/TECO_2022_Sustainability_Report.pdf","t100sa11_1504_111_E.pdf","2023/06/30","","","","","csr@teco.com.tw","",
"1506","正道","R.W.","5.股本達新臺幣二十億元以上者","電機機械","111/01/01~111/12/31","1. GRI 準則","會計師事務所：","秉承聯合會計師事務所","確信準則3000號(原公報第一號)","https://www.rightway.com.tw/index.php?option=module&lang=cht&task=showlist&id=821&index=9","t100sa11_1506_111.pdf","112/06/30","","","","","","","","Don.Huang@rightway.tw","",
"1513","中興電","CHEM","5.股本達新臺幣二十億元以上者","電機機械","111/01/01~111/12/31","1. GRI 準則","無","無資料","無資料","https://www.chem.com.tw/tc/organization.aspx?PKey=1098","t100sa11_1513_111.pdf","112/06/16","https://www.chem.com.tw/en/organization.aspx?PKey=1101","t100sa11_1513_111_E.pdf","2023/07/26","","","","","tw006466@chem.com.tw","無",
"1515","力山","REXON","6.係自願編製與申報","電機機械","111/01/01~111/12/31","1. GRI 準則","其他查驗證單位：","台灣檢驗科技股份有限公司","AA1000 第1類型(Type1) 中度保證","https://www.rexon.net/esg-report.php","t100sa11_1515_111.pdf","112/08/04","","","","","","","","esg@rexon.com.tw","",
"1522","堤維西","TYC","5.股本達新臺幣二十億元以上者","汽車工業","111/01/01~111/12/31","1. GRI 準則","其他查驗證單位：","台灣衛理國際品保驗證股份有限公司 (Bureau	Veritas)","AA1000 第1類型(Type1) 中度保證","https://www.tyc.com.tw","t100sa11_1522_111.pdf","112/06/29","","","","","","","","CSR_TYC@tyc.com.tw","",
"1525","江申","KSC","6.係自願編製與申報","汽車工業","111/01/01~111/12/31","1. GRI 準則","無","無資料","無資料","http://www.kian-shen.com/act.php?act=81&index_id=12","t100sa11_1525_111.pdf","112/06/30","","","","","","","","mh_lu@kian-shen.com","",
"1526","日馳","SUNRACE","6.係自願編製與申報","電機機械","111/01/01~111/12/31","1. GRI 準則","無","無資料","無資料","http://www.sunrace.tw","t100sa11_1526_111.pdf","112/06/28","","","","","","","","meilian.zhu@sunrace.com","無",
"1532","勤美","CMP","5.股本達新臺幣二十億元以上者","電機機械","111/01/01~111/12/31","1. GRI 準則","其他查驗證單位：","英國標準協會BSI","AA1000 第1類型(Type1) 中度保證","http://www.cmp.com.tw/cht/csr/download","t100sa11_1532_111.pdf","112/06/30","http://www.cmp.com.tw/en/csr/download","t100sa11_1532_111_E.pdf","2023/07/25","t100sa11_1532_111_M.pdf","112/07/07","","","ashley.yang@cmp.com.tw","已完成第三方查證，惟待第三方完成其內部作業提供聲明書後，更新上傳永續報告書",
"1533","車王電","MORE","6.係自願編製與申報","汽車工業","111/01/01~111/12/31","1. GRI 準則","其他查驗證單位：","BSI英國標準協會","AA1000 第1類型(Type1) 中度保證","http://www.more.com.tw","t100sa11_1533_111.pdf","112/07/26","","","","","","","","mobiletron.csr@more.com.tw","",
"1535","中宇","CEC","6.係自願編製與申報","電機機械","111/01/01~111/12/31","1. GRI 準則","其他查驗證單位：","英國標準協會(BSI)查證","其他","https://www.ecotek.com.tw/cec_esg/2022/index.html","t100sa11_1535_111.pdf","112/06/20","","","","t100sa11_1535_111_M.pdf","112/07/14","","","finance@ecotek.com.tw","無",
"1605","華新","WALSIN","5.股本達新臺幣二十億元以上者","電器電纜","111/01/01~111/12/31","1. GRI 準則","會計師事務所：","勤業眾信聯合會計師事務所","確信準則3000號(原公報第一號)","https://esg.walsin.com/zh_TW/report-download","t100sa11_1605_111.pdf","112/05/18","https://esg.walsin.com/en/report-download","t100sa11_1605_111_E.pdf","2023/08/02","","","","","csr@walsin.com","",
"1608","華榮","HE","5.股本達新臺幣二十億元以上者","電器電纜","111/01/01~111/12/31","1. GRI 準則","無","無資料","無資料","http://www.hegroup.com.tw/","t100sa11_1608_111.pdf","112/06/19","","","","","","","","h13285@hegroup.com.tw","",
"1609","大亞","TA YA","5.股本達新臺幣二十億元以上者","電器電纜","111/01/01~111/12/31","1. GRI 準則","其他查驗證單位：","台灣檢驗科技股份有限公司","AA1000 第1類型(Type1) 中度保證","https://www.taya.com.tw/msg/msg292.html","t100sa11_1609_111.pdf","112/06/30","","","","","","","","jeff_lai@mail.taya.com.tw","無",
"1612","宏泰","HONG TAI","5.股本達新臺幣二十億元以上者","電器電纜","111/01/01~111/12/31","1. GRI 準則","無","無資料","無資料","http://www.hong-tai.com.tw/","t100sa11_1612_111.pdf","112/06/29","","","","","","","","adingchen@hong-tai.com.tw","",
"1707","葡萄王","GKB","6.係自願編製與申報","生技醫療業","111/01/01~111/12/31","1. GRI 準則","會計師事務所：","勤業眾信聯合會計師事務所","確信準則3000號(原公報第一號)","https://www.grapeking.com.tw/csr","t100sa11_1707_111.pdf","112/04/20","https://www.grapeking.com.tw/en/csr","t100sa11_1707_111_E.pdf","2023/06/20","","","","","CSR@grapeking.com.tw","無",
"1708","東鹼","SESODA","3.屬化學工業者","化學工業","111/01/01~111/12/31","1. GRI 準則","會計師事務所：","國富浩華聯合會計師事務所","確信準則3000號(原公報第一號)","https://www.sesoda.com.tw/csr","t100sa11_1708_111.pdf","112/08/08","","","","","","","","lan@sesoda.com.tw","",
"1710","東聯","OUCC","3.屬化學工業者","化學工業","111/01/01~111/12/31","1. GRI 準則","會計師事務所：","安永聯合會計師事務所","確信準則3000號(原公報第一號)","https://www.oucc.com.tw/csr-107-page472","t100sa11_1710_111.pdf","112/06/29","","","","","","","","rachelchang@oucc.com.tw","",
"1711","永光","EVERLIGHT","3.屬化學工業者","化學工業","111/01/01~111/12/31","1. GRI 準則","會計師事務所：","KPMG","確信準則3000號(原公報第一號)","https://www.ecic.com/esg/esg_reports/","t100sa11_1711_111.pdf","112/06/29","https://en.ecic.com/esg/report/","t100sa11_1711_111_E.pdf","2023/08/11","t100sa11_1711_111_M.pdf","112/08/08","","","csr@ecic.com.tw","其他查驗單位：英國標準協會台灣分公司機構(BSI)採用標準AA1000 第1類型中度保證",
"1713","國化","CCW","3.屬化學工業者","化學工業","111/01/01~111/12/31","1. GRI 準則","會計師事務所：","安永聯合會計師事務所","確信準則3000號(原公報第一號)","http://www.ccwi.com.tw","t100sa11_1713_111.pdf","112/08/14","http://www.ccwi.com.tw","t100sa11_1713_111_E.pdf","2023/08/14","","","","","cathay@cathaychem.com.tw","",
"1717","長興","ETERNAL","3.屬化學工業者、5.股本達新臺幣二十億元以上者","化學工業","111/01/01~111/12/31","1. GRI 準則","會計師事務所：","勤業眾信聯合會計師事務所","確信準則3000號(原公報第一號)","https://www.eternal-group.com/Docs/Upload/WC2023081100002/2022%E9%95%B7%E8%88%88%E6%B0%B8%E7%BA%8C%E5%A0%B1%E5%91%8A%E6%9B%B8%E4%B8%8A%E5%82%B3%E6%AA%94.pdf","t100sa11_1717_111.pdf","112/08/17","","","","","","","","investor@eternal-group.com","無",
"1723","中碳","CSCC","3.屬化學工業者","化學工業","111/01/01~111/12/31","1. GRI 準則","會計師事務所：","安永聯合會計師事務所","確信準則3000號(原公報第一號)","https://www.cscc.com.tw/csr/csr/abo.html","t100sa11_1723_111.pdf","112/06/29","https://www.cscc.com.tw/csr/csr/abo.html","t100sa11_1723_111_E.pdf","2023/07/31","","","","","02886@e-cscc.com.tw","",
"1727","中華化","CHCIW","3.屬化學工業者","化學工業","111/01/01~111/12/31","1. GRI 準則","會計師事務所：","青山永續聯合會計師事務所","確信準則3000號(原公報第一號)","https://www.chciw.com.tw/index.php/ch/csr/index.html","t100sa11_1727_111.pdf","112/06/30","","","","","","","","es1@chciw.com.tw","",
"1732","毛寶","Mao Bao","3.屬化學工業者","化學工業","111/01/01~111/12/31","1. GRI 準則","會計師事務所：","蘊揚聯合會計師事務所","確信準則3000號(原公報第一號)","https://www.maobao.com.tw/information/about_us/detail&information_id=13","t100sa11_1732_111.pdf","112/08/14","","","","","","","","tia@maobao.com.tw","無",
"1733","五鼎","ApexBio","6.係自願編製與申報","生技醫療業","111/01/01~111/12/31","1. GRI 準則","無","無資料","無資料","https://www.apexbio.com.tw/","t100sa11_1733_111.pdf","112/06/09","","","","","","","","huayutseng@apexbio.com","",
"1736","喬山","JHT　　","5.股本達新臺幣二十億元以上者","運動休閒","111/01/01~111/12/31","1. GRI 準則","其他查驗證單位：","BSI","AA1000 第1類型(Type1) 中度保證","https://www.johnsonfitness.com.tw/mod/news/index.php?REQUEST_ID=6f11269c4fa89f16dcaaf298183d8b240f86355c2bb9f942a316227bf22680e5","t100sa11_1736_111.pdf","112/06/19","","","","t100sa11_1736_111_M.pdf","112/07/25","","","esg@johnsonfitness.com","",
"1802","台玻","TGI","5.股本達新臺幣二十億元以上者","玻璃陶瓷","111/01/01~111/12/31","1. GRI 準則","會計師事務所：","安永會計室事務所","確信準則3000號(原公報第一號)","http://www.taiwanglass.com/information_list.php?langeno=tw&sid=286","t100sa11_1802_111.pdf","112/08/17","","","","","","","","ESG@taiwanglass.com","",
"1903","士紙","Shihlin Paper","5.股本達新臺幣二十億元以上者","造紙工業","111/01/01~111/12/31","1. GRI 準則","無","無資料","無資料","https://www.shihlin.com.tw/download/ESG/ESGReport_2022.pdf","t100sa11_1903_111.pdf","112/08/18","","","","","","","","jerry@shihlin.com.tw;ivanli@shihlin.com.tw;gagafan@shihlin.com.tw","無",
"1904","正隆","Cheng Loong","5.股本達新臺幣二十億元以上者","造紙工業","111/01/01~111/12/31","1. GRI 準則","其他查驗證單位：","法國標準協會集團-艾法諾國際股份有限公司(AFNOR Asia Ltd.)","AA1000 第1類型(Type1) 中度保證","https://www.clc.com.tw/_upload/files/2022ESG.pdf","t100sa11_1904_111.pdf","112/06/26","https://www.clc.com.tw/_upload/files/2022ESG_EN.pdf","t100sa11_1904_111_E.pdf","2023/08/07","","","","","csr@mail.clc.com.tw","2022英文版報告書編制中，預計112.7.30前完成上傳",
"1905","華紙","CHP","5.股本達新臺幣二十億元以上者","造紙工業","111/01/01~111/12/31","1. GRI 準則","其他查驗證單位：","英國標準協會 (British Standards Institution, BSI)","AA1000 第1類型(Type1) 中度保證","http://www.chp.com.tw/responsibility/report_download","t100sa11_1905_111.pdf","112/06/30","","","","","","","","csroffice.chp@yfy.com","無",
"1907","永豐餘","YFY","5.股本達新臺幣二十億元以上者","造紙工業","111/01/01~111/12/31","1. GRI 準則","其他查驗證單位：","SGS","AA1000 第2類型(Type2) 中度保證","https://csr.yfy.com/report","t100sa11_1907_111.pdf","112/06/29","","","","","","","","judy.wu@yfy.com","",
"1909","榮成","Longchen P&P","5.股本達新臺幣二十億元以上者","造紙工業","111/01/01~111/12/31","1. GRI 準則","其他查驗證單位：","BSI","AA1000 第1類型(Type1) 中度保證","http://www.longchenpaper.com/file/UploadFile/CSR/榮成CSR報告書_2022.pdf","t100sa11_1909_111.pdf","112/06/30","","","","","","","","william.lin@longchenpaper.com","",
"2002","中鋼","CSC","5.股本達新臺幣二十億元以上者","鋼鐵工業","111/01/01~111/12/31","1. GRI 準則","其他查驗證單位：","英國標準協會","AA1000 第1類型(Type1) 中度保證","https://www.csc.com.tw/csc/hr/csr/wb/dow.htm","t100sa11_2002_111.pdf","112/06/29","","","","","","","","210690@mail.csc.com.tw","112年1月1日宣示中鋼新願景及首編十年期經營發展策略",
"2006","東和鋼鐵","Tung Ho Steel","5.股本達新臺幣二十億元以上者","鋼鐵工業","111/01/01~111/12/31","1. GRI 準則","其他查驗證單位：","英國標準協會(BSI)","AA1000 第1類型(Type1) 中度保證","https://www.tunghosteel.com/CSR/report","t100sa11_2006_111.pdf","112/06/30","","","","","","","","dingyuj@tunghosteel.com","",
"2007","燁興","YH","5.股本達新臺幣二十億元以上者","鋼鐵工業","111/01/01~111/12/31","1. GRI 準則","無","無資料","無資料","http://www.yheco.com.tw/YH_CSR.asp","t100sa11_2007_111.pdf","112/06/28","","","","","","","","yh11311@yheco.com.tw","",
"2009","第一銅","FCC","5.股本達新臺幣二十億元以上者","鋼鐵工業","111/01/01~111/12/31","1. GRI 準則","無","無資料","無資料","http://www.fcht.com.tw/","t100sa11_2009_111.pdf","112/06/30","","","","","","","","misherr@hegroup.com.tw；h33421@hegroup.com.tw","",
